treated1fb	treated2fb	treated3fb	untreated1fb	untreated2fb	untreated3fb	untreated4fb
FBgn0030477	4	5	3	1	5	4	4
FBgn0030478	1751	1887	1541	1863	2313	1350	1568
FBgn0030479	278	253	169	221	454	202	196
FBgn0030480	519	255	270	370	326	182	250
FBgn0030481	512	611	399	479	570	261	343
FBgn0030482	4941	4635	4320	5894	7486	4063	4049
FBgn0030483	5	3	8	3	5	5	1
FBgn0030484	1527	1402	1463	1277	2161	1035	1267
FBgn0030485	474	524	501	299	473	245	313
FBgn0030486	2845	2901	2075	2147	3367	1700	1673
FBgn0030491	0	4	0	0	1	1	0
FBgn0030492	0	0	0	0	0	0	0
FBgn0030493	0	2	0	0	0	0	0
FBgn0030494	0	0	0	0	0	0	1
FBgn0030495	1	0	0	1	0	0	0
FBgn0030499	838	1052	882	762	1034	691	638
FBgn0030500	793	876	622	643	967	512	516
FBgn0030501	1849	1208	1023	1522	2716	894	1076
FBgn0030502	3284	2842	1941	2704	4317	2096	2052
FBgn0030503	189	225	177	121	233	133	159
FBgn0030504	3413	3946	2971	3919	4555	2619	2836
FBgn0030505	1782	1969	1584	1674	2904	1698	1466
FBgn0030506	501	490	433	429	619	286	362
FBgn0030507	386	408	330	498	552	228	369
FBgn0030508	7	13	12	9	11	4	6
FBgn0030509	0	2	0	3	0	0	0
FBgn0030510	490	605	535	397	566	319	396
FBgn0030511	253	247	175	240	277	117	145
FBgn0030512	1748	1677	1301	1451	1739	1124	1155
FBgn0030514	1715	1911	1566	1838	2526	1335	1457
FBgn0030518	391	328	304	432	448	214	235
FBgn0030519	1119	1080	1206	1606	1633	892	1210
FBgn0030520	7150	6813	5604	4619	8471	4460	4517
FBgn0030521	5840	6079	6116	5755	7169	4658	5354
FBgn0030522	286	358	218	332	309	155	223
FBgn0030524	13	8	8	10	19	10	5
FBgn0030525	12	3	5	6	6	4	2
FBgn0030528	131	146	135	166	172	110	135
FBgn0030529	9558	8508	7233	11395	19303	8118	8720
FBgn0030530	1749	2265	2097	1862	2624	1524	1575
FBgn0030532	1537	2450	2019	1792	2686	2300	1754
FBgn0030536	8	0	2	3	6	1	2
FBgn0030537	0	2	0	0	0	0	1
FBgn0030538	0	0	1	0	0	0	0
FBgn0030539	0	0	1	0	1	2	0
FBgn0030540	0	0	0	0	0	0	0
FBgn0030541	0	0	0	0	0	0	0
FBgn0030542	1	0	0	0	0	0	1
FBgn0030543	0	0	1	1	0	1	0
FBgn0030544	0	0	0	0	0	0	0
FBgn0030545	398	451	339	325	348	149	219
FBgn0030551	3	4	2	3	4	0	3
FBgn0030552	582	671	708	583	736	495	570
FBgn0030554	254	371	258	377	397	246	271
FBgn0030555	242	320	288	263	333	204	238
FBgn0030556	1457	1959	1660	1706	2192	1256	1473
FBgn0030558	3	0	5	0	3	2	0
FBgn0030559	6	3	4	6	5	14	3
FBgn0030562	64	40	34	47	65	30	27
FBgn0030563	0	0	0	0	1	0	0
FBgn0030566	0	0	0	0	0	0	0
FBgn0030569	6	1	3	1	3	1	2
FBgn0030570	0	0	0	0	0	0	0
FBgn0030571	336	386	345	284	446	234	299
FBgn0030572	420	434	461	479	584	344	366
FBgn0030573	65	36	44	34	57	30	34
FBgn0030574	39	17	26	12	20	11	11
FBgn0030575	77	95	51	70	58	28	44
FBgn0030576	272	300	211	348	551	230	239
FBgn0030577	0	0	0	2	3	0	0
FBgn0030578	0	0	0	0	1	1	0
FBgn0030581	526	659	500	534	768	453	413
FBgn0030582	1165	1276	942	1214	1679	637	779
FBgn0030583	76	54	37	41	49	23	31
FBgn0030584	409	320	299	389	577	216	228
FBgn0030586	11	7	2	1	9	8	5
FBgn0030587	8	10	10	2	11	5	9
FBgn0030588	310	220	219	152	252	86	137
FBgn0030589	12	3	2	0	3	4	2
FBgn0030590	64	57	26	14	40	22	25
FBgn0030591	3	10	4	2	12	8	2
FBgn0030592	22	17	5	4	34	6	10
FBgn0030593	13	11	10	6	22	12	13
FBgn0030594	22	9	10	4	30	11	7
FBgn0030595	8	1	3	1	5	0	2
FBgn0030596	25	16	13	13	47	20	21
FBgn0030597	13	10	7	5	24	9	5
FBgn0030598	91	96	52	19	34	8	12
FBgn0030599	3	6	3	12	9	6	5
FBgn0030600	2732	3584	2499	2506	3500	2298	2235
FBgn0030603	768	871	712	813	1002	534	554
FBgn0030605	679	830	629	748	1020	517	590
FBgn0030606	655	767	561	624	657	308	395
FBgn0030607	45	21	32	6	40	21	18
FBgn0030608	0	0	0	0	0	0	0
FBgn0030610	372	339	306	367	519	248	285
FBgn0030611	150	149	112	190	275	70	115
FBgn0030612	400	404	376	654	568	366	461
FBgn0030613	10	9	15	9	13	12	13
FBgn0030614	4	3	0	2	1	0	0
FBgn0030615	101	82	49	77	124	61	63
FBgn0030616	27585	27798	29358	29301	50945	22718	30474
FBgn0030617	1	3	3	0	0	1	0
FBgn0030618	1	3	1	0	3	2	1
FBgn0030619	0	0	2	1	0	0	0
FBgn0030620	0	0	0	0	0	0	0
FBgn0030621	0	0	0	0	0	0	0
FBgn0030622	0	0	0	0	0	0	0
FBgn0030623	0	0	0	1	0	0	0
FBgn0030624	0	0	0	0	0	0	0
FBgn0030625	462	345	200	307	434	165	198
FBgn0030626	565	508	405	418	676	379	334
FBgn0030627	860	1276	1223	1013	1199	1050	917
FBgn0030628	615	700	553	594	815	347	390
FBgn0030629	190	211	175	128	186	112	101
FBgn0030630	684	755	715	695	773	461	583
FBgn0030631	1262	1662	1175	1399	1907	1105	1174
FBgn0030634	5	1	0	9	32	10	11
FBgn0030636	9	20	12	12	25	19	17
FBgn0030638	1115	1362	997	1081	1125	617	769
FBgn0030641+FBgn0030640	389	425	334	346	593	289	302
FBgn0030642	21	34	27	18	27	22	11
FBgn0030643	9	8	7	6	19	8	8
FBgn0030645	111	117	74	101	131	56	66
FBgn0030646	285	318	258	257	349	140	190
FBgn0030647	13	12	8	12	30	10	5
FBgn0030648	454	481	399	394	634	313	332
FBgn0030653	233	341	207	126	242	139	164
FBgn0030654+FBgn0030655	462	456	374	492	585	329	354
FBgn0030657	109	96	72	90	149	48	79
FBgn0030658	1113	1447	916	1361	1450	736	912
FBgn0030659	504	594	381	440	718	288	366
FBgn0030660	262	258	164	200	178	124	141
FBgn0030661	42	40	26	22	23	21	15
FBgn0030662	818	1181	943	500	845	506	545
FBgn0030663	3	7	3	1	2	4	3
FBgn0030664	16	13	14	4	19	7	14
FBgn0030665	2	7	7	7	14	3	5
FBgn0030666	7	11	7	15	17	20	15
FBgn0030667	221	141	110	122	247	70	71
FBgn0030668	267	292	257	306	369	176	231
FBgn0030669	300	233	213	283	367	173	210
FBgn0030670	868	777	769	1246	1173	754	731
FBgn0030671	393	356	255	333	435	234	264
FBgn0030672	6243	6633	5785	8480	9340	5582	6154
FBgn0030673	121	104	87	116	162	53	81
FBgn0030674	10003	13506	9154	10117	13385	8508	7323
FBgn0030675	85	93	77	77	72	45	60
FBgn0030676	23	8	8	4	20	8	7
FBgn0030678	208	285	188	244	257	150	178
FBgn0030679	423	498	384	511	687	253	353
FBgn0030680	711	647	531	601	964	440	426
FBgn0030683	287	328	223	379	323	184	241
FBgn0030684	9	5	4	9	12	6	3
FBgn0030685	2823	2243	1892	2932	4551	2006	1979
FBgn0030686	541	585	441	594	834	316	472
FBgn0030687	828	1101	806	1072	1015	632	648
FBgn0030688	6	9	5	6	5	1	5
FBgn0030691	49	32	21	26	44	21	17
FBgn0030692	929	1038	717	954	1236	525	616
FBgn0030693	763	422	366	701	848	349	426
FBgn0030694	324	256	224	275	406	179	227
FBgn0030695	264	216	216	208	509	188	188
FBgn0030696	33	23	23	31	26	19	13
FBgn0030697	3	4	2	8	1	1	6
FBgn0030699	899	897	771	993	1336	683	748
FBgn0030700	78	53	47	64	82	29	52
FBgn0030701	1504	1648	1081	1509	1917	1076	1091
FBgn0030703	3134	1911	1745	2618	3876	1475	1719
FBgn0030704	285	187	139	223	270	96	133
FBgn0030706	14	9	14	21	19	23	15
FBgn0030707	0	0	0	2	2	0	0
FBgn0030710	305	299	192	230	349	139	129
FBgn0030711	346	187	191	322	492	176	189
FBgn0030715	2	2	0	2	4	0	3
FBgn0030716	1027	1152	813	745	1183	590	522
FBgn0030717	409	440	333	482	483	287	289
FBgn0030718	1372	1327	975	1290	1400	594	768
FBgn0030719	4806	2801	2360	3189	5033	1892	2013
FBgn0030720	1387	1638	1116	1614	1974	940	1087
FBgn0030721	160	76	80	89	141	100	65
FBgn0030722	50	33	21	35	36	12	14
FBgn0030723	60	54	46	34	42	28	23
FBgn0030724	689	521	604	687	827	410	446
FBgn0030725	17	11	8	17	26	15	4
FBgn0030729	2	0	2	0	5	1	2
FBgn0030731	1358	1810	1340	1577	1899	1064	1204
FBgn0030733	0	0	0	0	0	0	0
FBgn0030734	5020	3539	3918	4659	7316	3066	3424
FBgn0030735	1662	1402	1273	1781	2010	1146	1279
FBgn0030737	126	153	127	128	156	84	89
FBgn0030738	932	682	498	870	1290	530	510
FBgn0030739	483	472	341	474	517	266	307
FBgn0030740	4552	4373	2748	5144	5017	2010	2630
FBgn0030742	27	25	17	20	21	17	13
FBgn0030743	275	276	270	349	282	173	254
FBgn0030744	1030	738	643	1094	1345	480	729
FBgn0030745	1100	892	929	964	1239	543	769
FBgn0030746	46	38	26	64	50	30	26
FBgn0030747	1863	1942	1503	1648	2059	1129	1133
FBgn0030748	1309	1046	1056	1304	1786	812	886
FBgn0030749	1261	1374	1452	1297	1702	949	1061
FBgn0030752	3869	3467	3871	5541	6451	4014	4356
FBgn0030753	2255	2225	1956	2101	3201	1416	1643
FBgn0030755	82	213	181	155	120	149	138
FBgn0030756	2	1	2	3	4	5	2
FBgn0030757	277	228	150	182	337	134	135
FBgn0030758	1338	1610	1260	1071	2307	1438	1255
FBgn0030759	435	650	433	519	455	302	388
FBgn0030761	447	542	392	458	593	287	336
FBgn0030763	3	1	1	4	10	4	5
FBgn0030764	25	18	11	15	47	12	8
FBgn0030765	1341	1103	1352	1418	1729	680	1359
FBgn0030766	739	682	484	557	786	447	446
FBgn0030768	835	1048	761	711	698	429	493
FBgn0030769	0	2	0	1	3	2	1
FBgn0030770	1	7	5	1	6	4	2
FBgn0030773	0	0	0	0	0	0	0
FBgn0030774	0	0	0	0	0	0	0
FBgn0030775	1	0	0	1	1	0	1
FBgn0030776	0	0	1	0	0	1	1
FBgn0030777	3	4	1	1	1	0	1
FBgn0030778	2	2	5	1	1	2	0
FBgn0030780	1	0	0	0	1	0	0
FBgn0030786	672	744	794	790	1219	595	707
FBgn0030787	250	244	208	179	272	147	165
FBgn0030788	610	545	390	470	924	301	402
FBgn0030789	325	294	237	240	393	165	197
FBgn0030790	983	860	675	686	1203	595	636
FBgn0030791+FBgn0030793	1767	1588	1340	1476	2310	1110	1181
FBgn0030792	928	1099	906	794	1068	611	740
FBgn0030794	65	117	56	68	96	48	53
FBgn0030795	175	159	149	150	225	111	121
FBgn0030796	13098	13606	11488	11245	14457	7597	8089
FBgn0030797	576	466	382	483	837	365	356
FBgn0030798	7	0	2	0	4	0	2
FBgn0030799	198	199	156	107	178	78	113
FBgn0030800	407	477	380	478	559	293	335
FBgn0030801	186	157	137	177	294	102	114
FBgn0030802	302	282	303	349	319	159	260
FBgn0030803	499	476	400	501	646	282	305
FBgn0030804	0	0	0	0	0	0	1
FBgn0030805	508	653	475	234	338	180	218
FBgn0030806	349	361	230	222	390	189	200
FBgn0030807	17	11	11	5	17	10	5
FBgn0030808	3026	3355	2526	2759	4392	2353	2331
FBgn0030809	4273	4525	3188	4088	5275	3011	2778
FBgn0030810	2	0	0	1	0	1	2
FBgn0030811	0	0	0	0	0	0	0
FBgn0030812	2398	2462	2309	2162	3724	2177	2094
FBgn0030813	116	91	55	77	93	47	45
FBgn0030814	0	1	0	1	0	0	0
FBgn0030815	3	1	2	1	1	0	3
FBgn0030816	143	99	104	151	164	100	114
FBgn0030817	9	7	12	10	3	4	11
FBgn0030823	0	5	1	1	0	0	0
FBgn0030824	1	0	0	0	1	1	0
FBgn0030826	0	0	0	0	0	1	0
FBgn0030827	1	0	0	0	2	0	0
FBgn0030828	25	22	14	14	30	20	18
FBgn0030829	0	0	0	0	0	0	0
FBgn0030830	0	0	2	0	2	1	4
FBgn0030832	0	0	0	0	0	0	0
FBgn0030833	208	210	123	168	248	124	123
FBgn0030834	413	482	365	451	684	253	309
FBgn0030835	0	0	1	0	0	1	0
FBgn0030836	1	0	0	1	2	0	1
FBgn0030837	0	0	0	1	1	0	1
FBgn0030838	710	585	574	632	1014	466	549
FBgn0030839	145	136	145	246	230	147	158
FBgn0030840	1	0	0	0	0	0	0
FBgn0030841	0	0	0	0	3	1	0
FBgn0030842	1424	1629	1116	882	1927	1169	976
FBgn0030843	0	0	0	0	4	0	0
FBgn0030844	0	4	0	2	0	0	2
FBgn0030846	4	8	3	5	5	5	4
FBgn0030847	29	26	31	25	27	19	19
FBgn0030850	1579	1351	990	1559	1629	811	847
FBgn0030851	210	179	127	178	203	93	113
FBgn0030852	59	31	32	34	64	19	13
FBgn0030853	987	1431	1127	1185	1232	790	1007
FBgn0030854	1171	943	683	876	1193	392	532
FBgn0030855	980	962	685	807	1280	536	637
FBgn0030858	1254	1646	1133	1238	1446	809	988
FBgn0030859	33	6	7	8	17	5	2
FBgn0030863	2826	2127	1811	1695	2700	1055	1141
FBgn0030864	883	678	546	618	847	336	382
FBgn0030868	0	0	1	0	0	0	0
FBgn0030869	2095	2417	2246	1766	3278	1749	1655
FBgn0030870	1	1	7	1	0	3	1
FBgn0030871	867	1110	820	765	814	498	626
FBgn0030872	439	584	541	497	543	412	374
FBgn0030873	1876	1981	1844	2332	2621	1356	1715
FBgn0030874	193	260	200	205	236	133	183
FBgn0030876	124	107	125	113	204	90	108
FBgn0030877	815	1018	793	715	949	542	638
FBgn0030878	986	1430	1160	1227	1316	915	930
FBgn0030880	0	0	0	0	1	0	0
FBgn0030881	10	8	4	4	8	3	4
FBgn0030882	1	10	5	0	0	4	3
FBgn0030883	238	248	193	217	314	162	157
FBgn0030884	116	141	100	55	111	48	50
FBgn0030886	0	1	0	0	1	0	0
FBgn0030887	3	0	2	1	2	6	0
FBgn0030889	0	0	0	0	0	0	0
FBgn0030890	1457	1396	1104	1457	1450	831	904
FBgn0030891	653	791	554	575	715	392	453
FBgn0030892	449	428	399	408	649	339	359
FBgn0030893	2159	2720	2046	1988	2656	1307	1498
FBgn0030894	1358	1106	1246	1265	1799	1019	939
FBgn0030895	3	2	2	3	11	2	2
FBgn0030897	0	0	0	0	1	1	0
FBgn0030898	0	0	0	0	0	0	0
FBgn0030899	0	0	1	0	0	0	0
FBgn0030900	1	0	0	0	0	0	0
FBgn0030904	6	3	11	13	17	18	17
FBgn0030905	0	0	0	0	0	0	0
FBgn0030908	0	0	0	0	1	0	0
FBgn0030912	1	2	0	1	1	0	4
FBgn0030913	1	0	0	1	2	0	1
FBgn0030914	3	2	3	2	3	1	2
FBgn0030915	245	284	294	246	318	196	203
FBgn0030918	32	16	10	9	15	4	6
FBgn0030921	0	0	0	0	0	0	0
FBgn0030925	50	50	39	38	54	26	17
FBgn0030926	3	2	1	1	3	0	1
FBgn0030927	13	32	16	26	17	12	21
FBgn0030928	42	48	28	19	38	16	17
FBgn0030929	7	8	7	10	12	3	5
FBgn0030930	2275	2464	1765	1954	2460	1312	1392
FBgn0030931	39	27	16	29	20	21	16
FBgn0030932	8	21	13	7	10	8	11
FBgn0030933	10	7	6	5	11	5	3
FBgn0030935	1	2	4	0	0	1	2
FBgn0030936	11	5	4	6	6	6	1
FBgn0030937	0	0	0	0	0	0	0
FBgn0030938	37	39	33	17	18	13	17
FBgn0030940	1	5	4	0	3	5	4
FBgn0030941	1463	1641	1436	1467	2345	1339	1335
FBgn0030943	856	971	630	863	975	472	479
FBgn0030944	708	708	548	553	846	400	467
FBgn0030945	258	493	320	320	394	295	330
FBgn0030946	2856	3732	2983	2925	3326	2194	2130
FBgn0030947	0	2	2	4	1	3	2
FBgn0030949	0	0	0	0	0	0	0
FBgn0030951	0	0	0	0	0	0	0
FBgn0030952	1	0	0	0	0	1	0
FBgn0030954	28	37	35	9	10	11	9
FBgn0030955	4300	5482	5808	5344	5087	3729	4678
FBgn0030956	211	186	160	136	201	116	140
FBgn0030958	28	56	19	205	35	21	20
FBgn0030959	217	408	478	178	231	250	263
FBgn0030960	309	227	161	311	446	164	221
FBgn0030961	29	28	23	10	24	18	12
FBgn0030963	89	136	124	145	127	76	92
FBgn0030964	5	6	3	0	3	1	1
FBgn0030966	308	468	318	195	301	152	171
FBgn0030968	112	162	135	126	134	62	108
FBgn0030969	718	782	559	714	840	416	498
FBgn0030970	503	554	411	462	564	308	331
FBgn0030973	1015	1091	995	867	1294	730	792
FBgn0030974	1302	1840	1371	1444	2037	1412	1461
FBgn0030975	0	0	0	0	2	0	0
FBgn0030976	5	0	2	3	4	5	6
FBgn0030979	0	0	0	0	0	0	0
FBgn0030980	0	0	0	0	1	0	0
FBgn0030981	0	0	0	0	0	0	0
FBgn0030982	0	0	0	0	0	0	0
FBgn0030983	1	2	2	0	0	1	0
FBgn0030984	0	0	1	1	1	0	0
FBgn0030985	69	31	28	33	50	22	22
FBgn0030989	26	30	17	24	28	14	20
FBgn0030990	2464	2606	2278	2313	3553	1892	2200
FBgn0030991	3900	4654	3626	3247	4483	2491	2493
FBgn0030992	168	194	175	130	202	162	177
FBgn0030993	3225	4003	3964	4812	5126	3983	4630
FBgn0030994	95	86	53	51	158	41	50
FBgn0030995	99	145	106	113	141	71	82
FBgn0030996	1184	1351	1109	1258	1387	705	897
FBgn0030997	29	10	9	6	16	8	4
FBgn0030998	0	2	2	3	4	2	4
FBgn0030999	2	0	0	0	5	2	3
FBgn0031000	3	2	0	1	1	1	2
FBgn0031001	4	7	4	1	4	4	1
FBgn0031002	692	730	608	322	822	444	598
FBgn0031003	443	437	388	337	418	251	262
FBgn0031004	2	7	0	0	1	3	2
FBgn0031005	0	4	4	1	2	1	0
FBgn0031006	1819	2299	1664	1851	2480	1732	1506
FBgn0031008	613	967	782	737	876	615	707
FBgn0031010	8	9	3	6	13	8	6
FBgn0031011	4850	5267	4246	5003	6153	3812	3707
FBgn0031012+FBgn0065084	1018	1109	966	1385	1733	880	1015
FBgn0031016	98	132	92	117	175	121	111
FBgn0031018	78	57	45	32	47	24	13
FBgn0031020	2143	3053	2357	2637	3065	1784	2024
FBgn0031021	397	440	409	414	683	438	461
FBgn0031022	213	357	229	193	296	168	200
FBgn0031023	2194	3166	2056	1701	2764	1675	1638
FBgn0031026	0	0	0	0	2	0	0
FBgn0031030	5051	5899	5511	5492	7312	4637	4742
FBgn0031031	35	41	25	24	41	32	30
FBgn0031032	45	55	49	57	78	47	43
FBgn0031033	42	21	45	26	45	30	26
FBgn0031034	75	88	87	120	94	83	91
FBgn0031035	29527	34927	25925	31324	46959	22093	31041
FBgn0031036	337	440	438	442	574	317	461
FBgn0031037	722	594	613	689	667	423	493
FBgn0031039+FBgn0031038	419	525	431	461	637	360	447
FBgn0031040	201	182	114	166	311	100	138
FBgn0031042	43	68	59	93	84	47	54
FBgn0031043	752	584	664	761	1272	506	484
FBgn0031044	520	534	445	572	701	395	422
FBgn0031045	66	76	43	75	89	53	56
FBgn0031047	2059	2445	2498	1789	2402	1315	1427
FBgn0031048	1034	1433	993	835	1026	532	666
FBgn0031049	1061	673	467	629	537	195	307
FBgn0031050	493	603	525	499	628	366	486
FBgn0031051	1983	2657	1751	1896	2423	1430	1429
FBgn0031052	2097	2551	1771	1931	2436	1385	1381
FBgn0031053	276	511	451	341	368	287	271
FBgn0031054	627	667	555	686	921	433	456
FBgn0031055	2280	2883	2369	3915	4379	2423	3011
FBgn0031057	5098	4369	3093	3692	6488	2953	2964
FBgn0031058	118	103	105	112	156	82	94
FBgn0031059	204	171	183	131	237	57	117
FBgn0031060	265	494	317	320	404	292	262
FBgn0031061	489	774	703	561	881	525	564
FBgn0031062	552	524	454	521	806	379	451
FBgn0031064	1	0	3	0	2	0	1
FBgn0031065	4	3	5	2	6	4	4
FBgn0031068	596	611	564	350	721	321	341
FBgn0031069	3079	3761	3513	3988	3558	2302	2556
FBgn0031070	967	1366	1014	774	730	573	579
FBgn0031074	7	12	13	9	11	14	11
FBgn0031077	1341	2027	1364	1620	1453	1061	1162
FBgn0031078	5632	8074	6014	7317	6442	4440	4574
FBgn0031079	4530	6129	4027	2974	4589	2919	2583
FBgn0031080	1095	1428	1360	1148	1259	805	980
FBgn0031081	17	13	10	10	23	15	16
FBgn0031082	3	0	1	0	0	1	0
FBgn0031085	3	1	0	0	2	0	0
FBgn0031086	5	10	7	8	6	3	3
FBgn0031088	5	19	0	3	7	5	6
FBgn0031089	149	265	229	248	278	246	236
FBgn0031090	2556	2302	1764	2106	3876	1427	1513
FBgn0031091	603	874	544	650	609	407	450
FBgn0031092	658	664	570	652	906	455	469
FBgn0031093	416	599	397	410	496	287	340
FBgn0031094	250	332	311	227	312	174	216
FBgn0031097	79	91	85	117	150	106	116
FBgn0031098	436	592	365	523	498	298	389
FBgn0031099	51	69	53	51	77	35	42
FBgn0031100	0	0	0	1	0	0	0
FBgn0031101	0	0	0	1	0	0	0
FBgn0031103	0	0	0	0	1	0	0
FBgn0031104	1	2	0	0	1	0	0
FBgn0031106	399	607	543	495	663	420	527
FBgn0031107	2866	4481	2799	2704	3345	2389	2114
FBgn0031108	4	3	1	6	0	2	1
FBgn0031109	0	0	0	0	0	0	0
FBgn0031110	0	2	0	0	1	2	0
FBgn0031111	3	1	3	3	2	6	1
FBgn0031114	1187	1380	955	783	1510	642	770
FBgn0031115	645	668	635	568	778	439	477
FBgn0031116	22	23	24	22	34	20	23
FBgn0031117	518	575	663	293	349	212	264
FBgn0031118	2390	3354	2716	2235	3894	2581	2286
FBgn0031119	376	323	283	290	372	187	181
FBgn0031126	393	321	244	408	628	271	300
FBgn0031127	5	7	6	10	17	18	13
FBgn0031128	9	12	6	9	17	10	3
FBgn0031129	0	0	0	0	0	0	0
FBgn0031130	0	0	0	0	0	0	0
FBgn0031132	0	0	0	0	0	0	0
FBgn0031134	0	0	0	0	0	0	0
FBgn0031135	4	0	0	0	10	0	0
FBgn0031138	0	0	0	0	0	0	0
FBgn0031139	0	0	0	0	0	0	0
FBgn0031140	1	0	0	0	0	0	2
FBgn0031141	0	0	0	0	0	0	0
FBgn0031142	65	51	55	26	70	32	29
FBgn0031143	943	997	788	811	1090	374	586
FBgn0031144	1040	911	767	794	1325	547	570
FBgn0031145	2601	1764	2035	2195	3954	1315	1657
FBgn0031146	141	102	100	87	139	59	76
FBgn0031148	3289	4426	3932	2811	3024	1790	2223
FBgn0031149	6163	6526	5365	6203	6714	3512	3986
FBgn0031150	1986	1229	1119	646	940	378	411
FBgn0031155	7	13	16	8	8	6	12
FBgn0031157	465	533	394	323	553	241	303
FBgn0031159+FBgn0064123	288	348	249	271	335	197	218
FBgn0031161	1014	920	861	813	1129	586	600
FBgn0031163	0	0	0	0	1	0	0
FBgn0031164	5	11	3	1	5	3	1
FBgn0031168	23	11	2	1	38	10	14
FBgn0031169	2671	2631	2024	2678	3178	1673	1776
FBgn0031170	1073	1044	717	1092	1737	881	848
FBgn0031171	6	8	5	6	13	3	7
FBgn0031174	2169	2529	2115	2050	3024	1885	2010
FBgn0031176	0	0	0	0	0	0	1
FBgn0031178	0	0	0	0	0	1	0
FBgn0031181	4	5	4	4	1	2	4
FBgn0031182	17	7	15	19	14	9	13
FBgn0031183	382	497	413	605	694	371	440
FBgn0031184	122	114	105	82	126	46	67
FBgn0031186	2159	1621	1447	1878	2721	1171	1349
FBgn0031187	3308	3568	2994	2969	4202	2498	2344
FBgn0031188	478	413	454	451	621	297	358
FBgn0031189	165	190	156	155	212	104	123
FBgn0031190	1829	1777	1363	1763	2394	1292	1302
FBgn0031191+FBgn0027279	3025	2768	2220	5250	7608	3880	3928
FBgn0031194	961	951	749	814	1209	622	677
FBgn0031195	221	264	209	187	229	160	174
FBgn0031196	32	42	21	16	28	17	21
FBgn0031197	4	2	1	1	3	2	2
FBgn0031201	49	59	42	53	88	35	45
FBgn0031208	12	4	2	0	5	4	1
FBgn0031209	2	0	2	2	2	2	0
FBgn0031213	1360	803	576	1024	1109	572	611
FBgn0031214	18	12	5	11	13	6	2
FBgn0031216	1329	681	492	1007	1411	577	481
FBgn0031217	1024	991	905	1220	1148	538	786
FBgn0031219	42	34	20	29	59	36	17
FBgn0031220	5618	3341	2826	3614	4824	2154	2139
FBgn0031224	448	456	282	336	527	182	254
FBgn0031227	188	101	56	157	197	57	73
FBgn0031228+FBgn0031229	1601	1017	1123	1339	1935	789	974
FBgn0031231	242	244	193	252	287	96	172
FBgn0031232	9	11	2	3	6	3	5
FBgn0031233	418	345	217	311	531	228	227
FBgn0031235	5	1	3	3	7	3	3
FBgn0031238	289	341	296	275	396	190	235
FBgn0031239	18	16	3	11	17	9	9
FBgn0031240	7	12	6	8	6	5	4
FBgn0031244	212	245	196	232	249	140	176
FBgn0031245	341	288	279	167	234	129	180
FBgn0031247	231	187	182	114	221	86	110
FBgn0031248	1	4	3	1	3	2	1
FBgn0031249	1	2	1	0	1	1	2
FBgn0031250	680	601	435	624	748	444	455
FBgn0031251	10	6	7	1	12	2	8
FBgn0031252	537	440	298	420	765	252	282
FBgn0031253	256	225	134	248	244	83	135
FBgn0031254	118	68	64	76	158	64	70
FBgn0031255	25	27	27	32	55	37	33
FBgn0031256	1672	1907	1423	1487	1732	1009	1260
FBgn0031257	1682	1901	1566	1308	2186	1200	1211
FBgn0031258	85	63	44	129	241	125	82
FBgn0031260	2585	3167	2316	2782	3179	1647	1995
FBgn0031261	2062	2669	2690	3399	4511	2873	3334
FBgn0031263	2282	1950	1631	1372	2150	993	1201
FBgn0031264	5	6	5	5	13	5	9
FBgn0031265	627	585	393	449	769	285	352
FBgn0031266	1697	1766	1109	1550	2148	1045	1065
FBgn0031267	526	570	374	590	737	314	423
FBgn0031268	277	193	187	136	136	89	92
FBgn0031270	65	30	40	52	91	18	33
FBgn0031273	0	0	1	0	0	0	1
FBgn0031275	2	1	0	2	4	1	1
FBgn0031276	0	0	0	0	0	0	0
FBgn0031277	0	0	0	0	0	0	0
FBgn0031279	0	0	0	1	0	0	0
FBgn0031281	240	241	263	204	272	144	170
FBgn0031282	157	151	99	154	206	72	115
FBgn0031284+FBgn0031283	385	259	239	296	322	143	195
FBgn0031285	3407	3618	2901	4171	6122	2818	3525
FBgn0031286	349	429	282	264	458	215	253
FBgn0031287	260	277	243	241	406	174	226
FBgn0031288	3	4	2	3	4	0	7
FBgn0031289	3	5	4	2	7	4	2
FBgn0031292	24	19	16	14	27	15	9
FBgn0031294	2	1	0	1	0	2	3
FBgn0031295	0	0	0	0	0	0	0
FBgn0031296	17	23	22	7	25	14	13
FBgn0031298	1172	1256	1150	950	1573	786	908
FBgn0031299	82	103	81	77	105	70	85
FBgn0031300	1276	1378	1100	1148	1649	809	952
FBgn0031301	4	4	5	8	7	3	4
FBgn0031302	126	65	71	69	109	52	59
FBgn0031304	1531	1870	1516	1779	2594	1353	1575
FBgn0031305	1	2	1	0	0	1	1
FBgn0031306	4	1	2	1	1	1	6
FBgn0031307	2633	3074	2511	1028	2078	1179	1322
FBgn0031308	276	289	210	254	345	130	195
FBgn0031309	504	524	595	542	751	417	410
FBgn0031310	992	1113	819	831	1332	507	625
FBgn0031312	1256	1839	1374	1316	1757	1021	1199
FBgn0031313	1229	1404	1143	1980	2304	1545	1732
FBgn0031314	402	520	367	428	588	254	344
FBgn0031315	325	283	238	203	405	122	216
FBgn0031317	1021	897	828	654	1408	561	643
FBgn0031318	1807	1913	1920	1607	2504	1374	1417
FBgn0031319	936	911	776	847	1012	631	664
